##
## 1. Every entry here was fetched from an authoritative source, NOT from training data
## 2. The "retrieved" date is when the value was actually looked up
## 3. Multiple sources for the same measurement are encouraged (cross-check)
## 4. This file is the ONLY place where "verified" means "independently confirmed"
residue-3.3-A
## RULES:
strands-4.7-A	Branden-Tooze	3.3-A-rise	standard	2026-03-23
## STRUCTURAL PERCENTAGES (not measurements — tracked for coverage)
## UNCERTAINTIES (these appear as atoms in domain output)
width-2140-MeV	PDG-2024-pdglive-S043	2140-MeV	pm-50-MeV	2026-03-23
width-2495.5-MeV	PDG-2024-pdglive-S044	2495.5-MeV	pm-2.3-MeV	2026-03-23
width-3.7-MeV	PDG-2024-pdglive-S126	3.7-MeV	+1.9-1.4-MeV	2026-03-23
## WIDTHS
energy-346-kJ/mol	CRC-97th	346-kJ/mol	pm-5	2026-03-23
length-1.54-A	CRC-97th	1.54-A	pm-0.01	2026-03-23
energy-614-kJ/mol	CRC-97th	614-kJ/mol	pm-5	2026-03-23
length-1.34-A	CRC-97th	1.34-A	pm-0.01	2026-03-23
energy-411-kJ/mol	CRC-97th	411-kJ/mol	pm-5	2026-03-23
length-1.09-A	CRC-97th	1.09-A	pm-0.01	2026-03-23
energy-305-kJ/mol	CRC-97th	305-kJ/mol	pm-5	2026-03-23
length-1.47-A	CRC-97th	1.47-A	pm-0.01	2026-03-23
energy-358-kJ/mol	CRC-97th	358-kJ/mol	pm-5	2026-03-23
length-1.43-A	CRC-97th	1.43-A	pm-0.01	2026-03-23
energy-799-kJ/mol	CRC-97th	799-kJ/mol	pm-10	2026-03-23
length-1.23-A	CRC-97th	1.23-A	pm-0.01	2026-03-23
energy-386-kJ/mol	CRC-97th	386-kJ/mol	pm-5	2026-03-23
length-1.01-A	CRC-97th	1.01-A	pm-0.01	2026-03-23
energy-459-kJ/mol	CRC-97th	459-kJ/mol	pm-5	2026-03-23
length-0.96-A	CRC-97th	0.96-A	pm-0.01	2026-03-23
energy-266-kJ/mol	CRC-97th	266-kJ/mol	pm-10	2026-03-23
length-2.05-A	CRC-97th	2.05-A	pm-0.01	2026-03-23
energy-330-kJ/mol	Lehninger-8th	330-kJ/mol	approximate	2026-03-23
length-1.33-A	Lehninger-8th	1.33-A	pm-0.01	2026-03-23
energy-8-to-29-kJ/mol	Lehninger-8th	8-to-29-kJ/mol	range	2026-03-23
energy-2-to-4-kJ/mol	Lehninger-8th	2-to-4-kJ/mol	range	2026-03-23
energy-20-kJ/mol	Lehninger-8th	20-kJ/mol	approximate	2026-03-23
